Art. nr. vores;Art. nr. deres; Ind netto ;kr. v/ kurs;Fragt ;Handling;Ind incl.;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;% tillæg;Før pris;;;;;;;;
;; i kurs ;"7,50";GNS;;  fragt ; Pris 1 ; Pris 2 ; Pris 3 ; Pris 4 ; Pris 5 ; Pris 6 ; Pris 7 ; Reseller ; EAN ;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
D13A4P;D13A4P;"1,09 €";"8,18";"1,04";"0,57";"9,79";"20,55";"18,60";"15,66";"15,17";"14,68";;;"14,19";"15,66";"100,00%";"0,00";;;;;;;;
2D13A4P;2D13A4P;"1,07 €";"8,03";"1,17";"0,56";"9,76";"20,49";"18,54";"15,61";"15,12";"14,64";;;"14,15";"15,61";"100,00%";"0,00";;;;;;;;
3D13A4P;3D13A4P;"3,09 €";"23,18";"2,34";"1,62";"27,14";"56,99";"51,56";"43,42";"42,06";"40,71";;;"39,35";"43,42";"100,00%";"0,00";;;;;;;;
4D13A4P;4D13A4P;"4,20 €";"31,50";"3,13";"2,21";"36,84";"77,35";"69,99";"58,94";"57,09";"55,25";;;"53,41";"58,94";"100,00%";"0,00";;;;;;;;
P13A4P;P13A4P;"1,07 €";"8,03";"0,78";"0,56";"9,37";"19,67";"17,80";"14,99";"14,52";"14,05";;;"13,58";"14,99";"100,00%";"0,00";;;;;;;;
DA5P;DA5P;"1,57 €";"11,78";"1,25";"0,82";"13,85";"29,08";"26,31";"22,16";"21,47";"20,77";;;"20,08";"22,16";"100,00%";"0,00";;;;;;;;
2DA5P;2DA5P;"1,95 €";"14,63";"1,25";"1,02";"16,90";"35,49";"32,11";"27,04";"26,19";"25,35";;;"24,50";"27,04";"100,00%";"0,00";;;;;;;;
3DA5P;3DA5P;"3,38 €";"25,35";"3,13";"1,77";"30,25";"63,53";"57,48";"48,41";"46,89";"45,38";;;"43,87";"48,41";"100,00%";"0,00";;;;;;;;
4DA5P;4DA5P;"5,23 €";"39,23";"6,25";"2,75";"48,22";"101,26";"91,62";"77,15";"74,74";"72,33";;;"69,92";"77,15";"100,00%";"0,00";;;;;;;;
PA5P;PA5P;"1,62 €";"12,15";"1,04";"0,85";"14,04";"29,49";"26,68";"22,46";"21,76";"21,06";;;"20,36";"22,46";"100,00%";"0,00";;;;;;;;
DA4P;DA4P;"2,98 €";"22,35";"3,13";"1,56";"27,04";"51,11";"46,25";"38,94";"37,73";"36,51";;;"39,21";"38,94";"90,00%";"0,00";;;;;;;;
2DA4P;2DA4P;"3,50 €";"26,25";"4,17";"1,84";"32,26";"67,74";"61,29";"51,61";"50,00";"48,39";;;"46,77";"51,61";"100,00%";"0,00";;;;;;;;
3DA4P;3DA4P;"6,33 €";"47,48";"4,70";"3,32";"55,50";"116,55";"105,45";"88,80";"86,02";"83,25";;;"80,47";"88,80";"100,00%";"0,00";;;;;;;;
4DA4P;4DA4P;"9,30 €";"69,75";"0,00";"4,88";"74,63";"156,73";"141,80";"119,41";"115,68";"111,95";;;"108,22";"119,41";"100,00%";"0,00";;;;;;;;
PA4P;PA4P;"3,00 €";"22,50";"2,08";"1,58";"26,16";"57,01";"51,77";"43,93";"42,62";"41,31";;;"40,00";"43,93";"100,00%";"0,00";;;;;;;;
4VCS95;4VCS95;"1,23 €";"9,23";"0,63";"0,65";"10,50";"22,05";"19,95";"16,80";"16,28";"15,75";"14,70";;"15,23";"16,80";"100,00%";"0,00";;;;;;;;
VCR92;VCR92;"0,31 €";"2,33";"0,63";"0,16";"3,12";"6,55";"5,92";"4,99";"4,83";"4,68";"4,36";;"4,52";"4,99";"100,00%";"0,00";;;;;;;;
SCS2xA4;SCS2xA4;" 41,98 € ";315;120;16;315;828;797;765;734;699;;;640;797;"100,00%";"0,00";;;;;;;;
SCS3xA4;SCS3xA4;" 50,12 € ";376;120;19;376;966;928;891;853;812;;;740;928;"100,00%";"0,00";;;;;;;;
SCS4xA4;SCS4xA4;" 56,73 € ";425;120;21;425;1077;1035;992;950;903;;;822;1035;"100,00%";"0,00";;;;;;;;
SCS6xA4;SCS6xA4;" 64,94 € ";487;120;24;487;1216;1167;1118;1070;1016;;;924;1167;"100,00%";"0,00";;;;;;;;
SCS8xA4;SCS8xA4;" 73,21 € ";549;120;27;549;1355;1301;1246;1191;1130;;;1026;1301;"100,00%";"0,00";;;;;;;;
SCS9xA4;SCS9xA4;" 81,93 € ";614;175;31;614;1558;1496;1435;1373;1306;;;1189;1496;"100,00%";"0,00";;;;;;;;
SCS12xA4;SCS12xA4;" 92,77 € ";696;175;35;696;1740;1671;1601;1532;1455;;;1323;1671;"100,00%";"0,00";;;;;;;;
SCXS1xA4C9005;SCXS1xA4C9005;" € 17,69 ";133;120;7;133;419;405;392;379;364;;;339;405;"100,00%";"0,00";;;;;;;;
SCXS2xA4C9005;SCXS2xA4C9005;" € 25,16 ";189;120;9;189;545;526;507;488;467;;;431;526;"100,00%";"0,00";;;;;;;;
SCXS3xA4C9005;SCXS3xA4C9005;" € 32,21 ";242;120;12;242;664;639;615;591;564;;;519;639;"100,00%";"0,00";;;;;;;;
SCXS4xA4C9005;SCXS4xA4C9005;" € 38,47 ";289;120;14;289;769;740;711;683;651;;;596;740;"100,00%";"0,00";;;;;;;;
SCXS6xA4C9005;SCXS6xA4C9005;" € 49,12 ";368;120;18;368;949;912;875;838;798;;;728;912;"100,00%";"0,00";;;;;;;;
SCXS8xA4C9005;SCXS8xA4C9005;" € 55,65 ";417;120;21;417;1059;1017;976;934;888;;;809;1017;"100,00%";"0,00";;;;;;;;
SCXS9xA4C9005;SCXS9xA4C9005;" € 61,40 ";461;120;23;461;1156;1110;1064;1018;967;;;880;1110;"100,00%";"0,00";;;;;;;;
SCXS12xA4C9005;SCXS12xA4C9005;" € 78,37 ";588;175;29;588;1497;1439;1380;1321;1257;;;1145;1439;"100,00%";"0,00";;;;;;;;
SCXS1xA4;SCXS1xA4;" € 16,41 ";123;120;6;123;397;385;372;360;346;;;323;385;"100,00%";"0,00";;;;;;;;
SCXS2xA4;SCXS2xA4;" € 22,91 ";172;120;9;172;507;489;472;455;436;;;404;489;"100,00%";"0,00";;;;;;;;
SCXS3xA4;SCXS3xA4;" € 30,09 ";226;120;11;226;628;605;583;560;535;;;492;605;"100,00%";"0,00";;;;;;;;
SCXS4xA4;SCXS4xA4;" € 35,28 ";265;120;13;265;715;689;662;636;607;;;557;689;"100,00%";"0,00";;;;;;;;
SCXS6xA4;SCXS6xA4;" € 45,87 ";344;120;17;344;894;860;825;791;753;;;688;860;"100,00%";"0,00";;;;;;;;
SCXS8xA4;SCXS8xA4;" € 54,57 ";409;120;20;409;1041;1000;959;918;873;;;795;1000;"100,00%";"0,00";;;;;;;;
SCXS9xA4;SCXS9xA4;" € 63,31 ";475;120;24;475;1188;1141;1093;1046;994;;;903;1141;"100,00%";"0,00";;;;;;;;
SCXS12xA4;SCXS12xA4;" € 70,19 ";526;175;26;526;1359;1307;1254;1202;1144;;;1044;1307;"100,00%";"0,00";;;;;;;;
SCXSC1xA4;SCXSC1xA4;" kr. 17,48 ";131;120;7;131;415;402;389;376;361;;;336;402;"100,00%";"0,00";;;;;;;;
SCXSC2xA4;SCXSC2xA4;" kr. 22,98 ";172;120;9;172;508;491;473;456;437;;;404;491;"100,00%";"0,00";;;;;;;;
SCXSC3xA4;SCXSC3xA4;" kr. 30,74 ";231;120;12;231;639;616;593;570;544;;;500;616;"100,00%";"0,00";;;;;;;;
SCXSC4xA4;SCXSC4xA4;" kr. 36,30 ";272;120;14;272;733;705;678;651;621;;;569;705;"100,00%";"0,00";;;;;;;;
SCXSC6xA4;SCXSC6xA4;" kr. 48,37 ";363;120;18;363;936;900;864;827;788;;;719;900;"100,00%";"0,00";;;;;;;;
SCXSC8xA4;SCXSC8xA4;" kr. 57,30 ";430;120;21;430;1087;1044;1001;958;911;;;829;1044;"100,00%";"0,00";;;;;;;;
SCXSC9xA4;SCXSC9xA4;" kr. 64,45 ";483;175;24;483;1263;1214;1166;1118;1064;;;973;1214;"100,00%";"0,00";;;;;;;;
SCXSC12xA4;SCXSC12xA4;" kr. 87,18 ";654;175;33;654;1646;1581;1515;1450;1378;;;1254;1581;"100,00%";"0,00";;;;;;;;
SCPOST-250 cm;SCPOST;"134,64 €";1010;525;50;1010;2797;2696;2595;2494;2383;;;2191;2696;"100,00%";"0,00";;;;;;;;
SCS2xA4;SCS2xA4;" 41,98 € ";315;120;;315;813;781;750;718;684;;;624;781;"100,00%";"0,00";;;;;;;;
SCS3xA4;SCS3xA4;" 50,12 € ";376;120;;376;947;909;872;834;793;;;721;909;"100,00%";"0,00";;;;;;;;
SCS4xA4;SCS4xA4;" 56,73 € ";425;120;;425;1056;1013;971;928;882;;;801;1013;"100,00%";"0,00";;;;;;;;
SCS6xA4;SCS6xA4;" 64,94 € ";487;120;;487;1192;1143;1094;1045;992;;;899;1143;"100,00%";"0,00";;;;;;;;
SCS8xA4;SCS8xA4;" 73,21 € ";549;120;;549;1328;1273;1218;1163;1103;;;999;1273;"100,00%";"0,00";;;;;;;;
SCS9xA4;SCS9xA4;" 81,93 € ";614;175;;614;1527;1465;1404;1343;1275;;;1158;1465;"100,00%";"0,00";;;;;;;;
SCS12xA4;SCS12xA4;" 92,77 € ";696;175;;696;1706;1636;1567;1497;1420;;;1288;1636;"100,00%";"0,00";;;;;;;;
DTSTGW10C9005;DTSTGW10C9005;" 84,92 € ";637;135;;637;1536;1472;1409;1345;1275;;;1218;1472;"100,00%";"0,00";;;;;;;;
DTSTGW13C9005;DTSTGW13C9005;" 93,62 € ";702;100;;702;1645;1575;1504;1434;1357;;;1294;1575;"100,00%";"0,00";;;;;;;;
DTSTGW13C9003;DTSTGW13C9003;" 87,41 € ";656;100;;656;1542;1477;1411;1346;1273;;;1214;1477;"100,00%";"0,00";;;;;;;;
DTSTGC10C9005;DTSTGC10C9005;" 85,76 € ";643;100;;643;1515;1451;1386;1322;1251;;;1193;1451;"100,00%";"0,00";;;;;;;;
DTSTGW7C9003;DTSTGW7C9003;" 74,40 € ";558;100;;558;1328;1272;1216;1160;1099;;;1049;1272;"100,00%";"0,00";;;;;;;;
DTSTGW10C9003;DTSTGW10C9003;" 79,59 € ";597;100;;597;1413;1354;1294;1234;1168;;;1115;1354;"100,00%";"0,00";;;;;;;;
DTSTGT10;DTSTGT10;"103,65";777;100;;777;1810;1732;1655;1577;1492;;;1422;1732;"100,00%";"0,00";;;;;;;;
DTSTGT13;DTSTGT13;"112,24";842;100;;842;1952;1868;1784;1699;1607;;;1531;1868;"100,00%";"0,00";;;;;;;;
DTSA20FC9003;DTSA20FC9003;" 124,44 € ";933;100;;933;2153;2060;1967;1873;1771;;;1687;2060;"100,00%";"0,00";;;;;;;;
DTSEA20;DTSEA20;" 56,92 € ";427;100;;427;1039;996;954;911;864;;;826;996;"100,00%";"0,00";;;;;;;;
DTSES20;DTSES20;" 58,05 € ";435;100;;435;1058;1014;971;927;879;;;840;1014;"100,00%";"0,00";;;;;;;;
DTSS20FC9003;DTSS20FC9003;" 123,75 € ";928;100;;928;2142;2049;1956;1863;1761;;;1678;2049;"100,00%";"0,00";;;;;;;;
DTSA20CC9003;DTSA20CC9003;" 57,38 € ";430;100;;430;1047;1004;961;918;870;;;832;1004;"100,00%";"0,00";;;;;;;;
DTSS20CC9003;DTSS20CC9003;" 56,70 € ";425;100;;425;1036;993;951;908;861;;;823;993;"100,00%";"0,00";;;;;;;;
DTSA20WFC9003;DTSA20WFC9003;" 72,20 € ";542;100;;542;1291;1237;1183;1129;1069;;;1021;1237;"100,00%";"0,00";;;;;;;;
DTSA20WC9003HVID;DTSA20WC9003;" 55,68 € ";418;100;;418;1019;977;935;893;848;;;810;977;"100,00%";"0,00";;;;;;;;
DTSS20WC9003HVID;DTSS20WC9003;" 64,60 € ";485;100;;485;1166;1117;1069;1021;967;;;924;1117;"100,00%";"0,00";;;;;;;;
DTSTGC13C9005;DTSTGC13C9005;" 94,35 € ";708;100;;708;1657;1586;1515;1444;1367;;;1303;1586;"100,00%";"0,00";;;;;;;;
DTSTGW7C9005;DTSTGW7C9005;" 72,19 € ";541;100;;541;1291;1237;1183;1129;1069;;;1020;1237;"100,00%";"0,00";;;;;;;;
DTSTGS10;DTSTGS10;" 107,61 € ";807;100;;807;1876;1795;1714;1633;1545;;;1472;1795;"100,00%";"0,00";;;;;;;;
DTSTGS13;DTSTGS13;" 116,23 € ";872;100;;872;2018;1931;1843;1756;1660;;;1582;1931;"100,00%";"0,00";;;;;;;;
DITWALL43ESF;;" 887,12 € ";6653;100;;6653;14737;14072;13407;12741;12010;;;11411;14072;"100,00%";"0,00";;;;;;;;
DITWALL43C9005ESF;DITWALL43ESF;" 887,12 € ";6653;100;;6653;14737;14072;13407;12741;12010;;;11411;14072;"100,00%";"0,00";;;;;;;;
DITWALL43C9003ESF;DITWALL43C9003ESF;" 887,12 € ";6653;100;;6653;14737;14072;13407;12741;12010;;;11411;14072;"100,00%";"0,00";;;;;;;;
DITTOTEM32ESF;;" 1.214,11 € ";9106;100;;9106;20133;19222;18312;17401;16399;;;15580;19222;"100,00%";"0,00";;;;;;;;
DITTOTEM32C9005ESF;DITTOTEM43ESF;" 1.214,11 € ";9106;100;;9106;20133;19222;18312;17401;16399;;;15580;19222;"100,00%";"0,00";;;;;;;;
DITTOTEM32C9003ESF;DITTOTEM43C9003ESF;" 1.214,11 € ";9106;100;;9106;20133;19222;18312;17401;16399;;;15580;19222;"100,00%";"0,00";;;;;;;;
BCSE;BCSE;" 99,29 € ";745;113;;745;1378;;;;;;;1118;1323;"100,00%";"0,00";;;;;;;;
BCSESR;BCSEKR;" 316,91 € ";2377;113;;2377;3915;;;;;;;3321;3759;"100,00%";"0,00";;;;;;;;
ALUGA2;ZPA2G32ME;"29,59 €";222;100;;222;522;488;455;;;;;400;488;"100,00%";"0,00";;;;;;;;
ALUGA1;ZPA1G32ME;"39,00 €";293;100;;293;656;612;568;;;;;495;612;"100,00%";"0,00";;;;;;;;
ALUGA0;ZPA0G32ME;"62,84 €";471;100;;471;995;925;854;;;;;736;925;"100,00%";"0,00";;;;;;;;
ALUG50x70;ZP50x70G32ME;"35,00 €";263;100;;263;599;559;520;;;;;454;559;"100,00%";"0,00";;;;;;;;
ALUG70x100;ZP70x100G32ME;"49,00 €";368;100;;368;798;743;688;;;;;596;743;"100,00%";"0,00";;;;;;;;
DSVESAB;DSVESAB;"301,56";2262;100;;2262;4397;4058;3719;3673;3606;;;3153;4058;"100,00%";"0,00";;;;;;;;
DSVESAP;DSVESAP;"186,39";1398;100;;1398;2756;2546;2337;2309;2267;;;1987;2546;"100,00%";"0,00";;;;;;;;
DSVESAT;DSVESAT;"454,70 €";3410;1000;;3410;7479;6968;6456;6388;6286;;;5604;6968;"100,00%";"0,00";;;;;;;;
DSVESA;DSVESA;"114,70 €";860;100;;860;1734;1605;1476;1459;1433;;;1261;1605;"100,00%";"0,00";;;;;;;;
DSVESAFT;DSVESAFT;"68,19 €";511;100;;511;1072;995;918;908;893;;;790;995;"100,00%";"0,00";;;;;;;;
DSVESAHWF;DSVESAHWF;"12,45 €";93;125;;93;302;288;274;273;270;;;251;288;"100,00%";"0,00";;;;;;;;
SMCSS;SMCSS;"26,04 €";195;113;;308;492;477;446;;;;;400;459;"100,00%";"0,00";;;;;;;;
SMRBSBL;SMRBSBL;"112,89 €";847;113;;959;1535;1487;1391;;;;;1247;1429;"100,00%";"0,00";;;;;;;;
SRA4G25C9005SORT;KRA4G25C9005;" 3,87 € ";29;;;29;101;94;83;79;75;72;;72;94;"130,00%";"0,00";;;;;;;;
SRA3G25C9005SORT;KRA3G25C9005;" 4,97 € ";37;;;37;130;120;107;102;97;92;;92;120;"130,00%";"0,00";;;;;;;;
SRA2G25C9005SORT;KRA2G25C9005;" 7,00 € ";53;;;53;183;171;150;143;137;128;;116;171;"130,00%";"0,00";;;;;;;;
SRA1G25C9005SORT;KRA1G25C9005;" 11,13 € ";83;;;83;291;271;239;228;217;206;;206;271;"130,00%";"0,00";;;;;;;;
SRA0G25C9005SORT;KRA0G25C9005;" 19,51 € ";146;;;146;571;512;457;438;418;399;;380;512;"130,00%";"0,00";;;;;;;;
SR50x70G25C9005SORT;KR50x70G25C9005;" 8,43 € ";63;;;63;219;205;181;173;164;156;;156;205;"130,00%";"0,00";;;;;;;;
SR60x80G25C9005SORT;KR60x80G25C9005;" 19,51 € ";146;;;146;199;;;;;;;167;199;"130,00%";"0,00";;;;;;;;
SR70x100G25C9005SORT;KR70x100G25C9005;"15,01 €";113;;;113;351;322;293;285;271;256;;256;322;"130,00%";"0,00";;;;;;;;
SRA4G25C9003HVID;KRA4G25C9003;" 3,87 € ";29;;;29;101;94;83;79;75;72;;72;94;"130,00%";"0,00";;;;;;;;
SRA3G25C9003HVID;KRA3G25C9003;" 4,97 € ";37;;;37;130;120;107;102;97;92;;92;120;"130,00%";"0,00";;;;;;;;
SRA2G25C9003HVID;KRA2G25C9003;" 7,00 € ";53;;;53;183;171;150;143;137;128;;116;171;"130,00%";"0,00";;;;;;;;
SRA1G25C9003HVID;KRA1G25C9003;" 11,13 € ";83;;;83;291;271;239;228;217;206;;206;271;"130,00%";"0,00";;;;;;;;
SRA0G25C9003HVID;KRA0G25C9003;" 19,51 € ";146;;;146;571;512;457;438;418;399;;380;512;"130,00%";"0,00";;;;;;;;
SR50x70G25C9003HVID;KR50x70G25C9003;" 8,26 € ";62;;;62;214;201;177;169;161;153;;153;201;"130,00%";"0,00";;;;;;;;
SR70x100G25C9003HVID;KR70x100G25C9003;" 15,01 € ";113;;;113;351;322;293;285;271;256;;256;322;"130,00%";"0,00";;;;;;;;
SRA4G25C3020RØD;KRA4G25C3020;" 3,87 € ";29;;;29;101;94;83;79;75;72;;72;94;"130,00%";"0,00";;;;;;;;
SRA3G25C3020RØD;KRA3G25C3020;" 4,97 € ";37;;;37;130;120;107;102;97;92;;92;120;"130,00%";"0,00";;;;;;;;
SRA2G25C3020RØD;KRA2G25C3020;" 7,00 € ";53;;;53;183;171;150;143;137;128;;116;171;"130,00%";"0,00";;;;;;;;
SRA1G25C3020RØD;KRA1G25C3020;" 11,13 € ";83;;;83;291;271;239;228;217;206;;206;271;"130,00%";"0,00";;;;;;;;
SRA0G25C3020RØD;KRA0G25C3020;" 19,51 € ";146;;;146;571;512;457;438;418;399;;380;512;"130,00%";"0,00";;;;;;;;
SR50x70G25C3020RØD;KR50x70G25C3020;" 8,26 € ";62;;;62;214;201;177;169;161;153;;153;201;"130,00%";"0,00";;;;;;;;
SR70x100G25C3020RØD;KR70x100G25C3020;" 14,43 € ";108;;;108;338;310;281;300;260;246;;246;310;"130,00%";"0,00";;;;;;;;
SRA4G25C5010BLÅ;KRA4G25C5010;" 3,87 € ";29;;;29;101;94;83;79;75;72;;72;94;"130,00%";"0,00";;;;;;;;
SRA3G25C5010BLÅ;KRA3G25C5010;" 4,97 € ";37;;;37;130;120;107;102;97;92;;92;120;"130,00%";"0,00";;;;;;;;
SRA2G25C5010BLÅ;KRA2G25C5010;" 7,00 € ";53;;;53;183;171;150;143;137;128;;116;171;"130,00%";"0,00";;;;;;;;
SRA1G25C5010BLÅ;KRA1G25C5010;" 11,13 € ";83;;;83;291;271;239;228;217;206;;206;271;"130,00%";"0,00";;;;;;;;
SRA0G25C5010BLÅ;KRA0G25C5010;" 19,51 € ";146;;;146;571;512;457;438;418;399;;380;512;"130,00%";"0,00";;;;;;;;
SR50x70G25C5010BLÅ;KR50x70G25C5010;" 8,26 € ";62;;;62;214;201;177;169;161;153;;153;201;"130,00%";"0,00";;;;;;;;
SR70x100G25C5010BLÅ;KR70x100G25C5010;" 14,43 € ";108;;;108;338;310;281;274;260;246;;246;310;"130,00%";"0,00";;;;;;;;
SCT4xA4PHC;SCT4xA4PHC;"139,62 €";1047;126;52;1173;2580;2320;2064;;;;;1935;2552;"110,00%";"0,00";;;;;;;;
SCT4xA4PHC9005;SCT4xA4PHC9005;"139,62 €";1047;126;52;1173;2580;2320;2064;;;;;1935;2552;"110,00%";"0,00";;;;;;;;
SCT4xA4PHC9003;SCT4xA4PHC9003;"139,62 €";1047;126;52;1173;2580;2320;2064;;;;;1935;2552;"110,00%";"0,00";;;;;;;;
SCT4xA4PHC3020;SCT4xA4PHC3020;"139,62 €";1047;126;52;1173;2580;2320;2064;;;;;1935;2552;"110,00%";"0,00";;;;;;;;
SCT4xA4PHC5010;SCT4xA4PHC5010;"139,62 €";1047;126;52;1173;2580;2320;2064;;;;;1935;2552;"110,00%";"0,00";;;;;;;;
SCT6xA4PHC;SCT6xA4PHC;"161,54 €";1212;145;61;1357;2985;2684;2388;;;;;2239;2952;"110,00%";"0,00";;;;;;;;
SCT6xA4PHC9005;SCT6xA4PHC9005;"161,54 €";1212;145;61;1357;2985;2684;2388;;;;;2239;2952;"110,00%";"0,00";;;;;;;;
SCT6xA4PHC9003;SCT6xA4PHC9003;"161,54 €";1212;145;61;1357;2985;2684;2388;;;;;2239;2952;"110,00%";"0,00";;;;;;;;
