Art. nr. vores;Art. nr. deres; Ind netto ;kr. v/ kurs;Fragt ;Handling;Ind incl.;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;% tillæg;Før pris;;;;;;;;
SCT6xA4PHC3020;SCT6xA4PHC3020;"161,54 €";1212;145;61;1357;2985;2684;2388;;;;;2239;2952;"110,00%";"0,00";;;;;;;;
SCT6xA4PHC5010;SCT6xA4PHC5010;"161,54 €";1212;145;61;1357;2985;2684;2388;;;;;2239;2952;"110,00%";"0,00";;;;;;;;
SCT8xA4PHC;SCT8xA4PHC;"180,98 €";1357;163;68;1520;3345;3007;2676;;;;;2508;3307;"110,00%";"0,00";;;;;;;;
SCT8xA4PHC9005;SCT8xA4PHC9005;"180,98 €";1357;163;68;1520;3345;3007;2676;;;;;2508;3307;"110,00%";"0,00";;;;;;;;
SCT8xA4PHC9003;SCT8xA4PHC9003;"180,98 €";1357;163;68;1520;3345;3007;2676;;;;;2508;3307;"110,00%";"0,00";;;;;;;;
SCT8xA4PHC3020;SCT8xA4PHC3020;"180,98 €";1357;163;68;1520;3345;3007;2676;;;;;2508;3307;"110,00%";"0,00";;;;;;;;
SCT8xA4PHC5010;SCT8xA4PHC5010;"180,98 €";1357;163;68;1520;3345;3007;2676;;;;;2508;3307;"110,00%";"0,00";;;;;;;;
SCT9xA4PHC;SCT9xA4PHC;"190,76 €";1431;172;72;1602;3525;3169;2820;;;;;2644;3486;"110,00%";"0,00";;;;;;;;
SCT9xA4PHC9005;SCT9xA4PHC9005;"190,76 €";1431;172;72;1602;3525;3169;2820;;;;;2644;3486;"110,00%";"0,00";;;;;;;;
SCT9xA4PHC9003;SCT9xA4PHC9003;"190,76 €";1431;172;72;1602;3525;3169;2820;;;;;2644;3486;"110,00%";"0,00";;;;;;;;
SCT9xA4PHC3020;SCT9xA4PHC3020;"190,76 €";1431;172;72;1602;3525;3169;2820;;;;;2644;3486;"110,00%";"0,00";;;;;;;;
SCT9xA4PHC5010;SCT9xA4PHC5010;"190,76 €";1431;172;72;1602;3525;3169;2820;;;;;2644;3486;"110,00%";"0,00";;;;;;;;
SCT12xA4PHC;SCT12xA4PHC;"224,87 €";1687;202;84;1889;4156;3736;3324;;;;;3117;4109;"110,00%";"0,00";;;;;;;;
SCT12xA4PHC9005;SCT12xA4PHC9005;"224,87 €";1687;202;84;1889;4156;3736;3324;;;;;3117;4109;"110,00%";"0,00";;;;;;;;
SCT12xA4PHC9003;SCT12xA4PHC9003;"224,87 €";1687;202;84;1889;4156;3736;3324;;;;;3117;4109;"110,00%";"0,00";;;;;;;;
SCT12xA4PHC3020;SCT12xA4PHC3020;"224,87 €";1687;202;84;1889;4156;3736;3324;;;;;3117;4109;"110,00%";"0,00";;;;;;;;
SCT12xA4PHC5010;SCT12xA4PHC5010;"224,87 €";1687;202;84;1889;4156;3736;3324;;;;;3117;4109;"110,00%";"0,00";;;;;;;;
SCT15xA4PHC;SCT15xA4PHC;"253,62 €";1902;228;95;2130;4687;4214;3750;;;;;3515;4635;"110,00%";"0,00";;;;;;;;
SCT15xA4PHC9005;SCT15xA4PHC9005;"253,62 €";1902;228;95;2130;4687;4214;3750;;;;;3515;4635;"110,00%";"0,00";;;;;;;;
SCT15xA4PHC9003;SCT15xA4PHC9003;"253,62 €";1902;228;95;2130;4687;4214;3750;;;;;3515;4635;"110,00%";"0,00";;;;;;;;
SCT15xA4PHC3020;SCT15xA4PHC3020;"253,62 €";1902;228;95;2130;4687;4214;3750;;;;;3515;4635;"110,00%";"0,00";;;;;;;;
SCT15xA4PHC5010;SCT15xA4PHC5010;"253,62 €";1902;228;95;2130;4687;4214;3750;;;;;3515;4635;"110,00%";"0,00";;;;;;;;
SCT18xA4PHC;SCT18xA4PHC;"282,43 €";2118;254;106;2372;5219;4692;4175;;;;;3914;5161;"110,00%";"0,00";;;;;;;;
SCT18xA4PHC9005;SCT18xA4PHC9005;"282,43 €";2118;254;106;2372;5219;4692;4175;;;;;3914;5161;"110,00%";"0,00";;;;;;;;
SCT18xA4PHC9003;SCT18xA4PHC9003;"282,43 €";2118;254;106;2372;5219;4692;4175;;;;;3914;5161;"110,00%";"0,00";;;;;;;;
SCT18xA4PHC3020;SCT18xA4PHC3020;"282,43 €";2118;254;106;2372;5219;4692;4175;;;;;3914;5161;"110,00%";"0,00";;;;;;;;
SCT18xA4PHC5010;SCT18xA4PHC5010;"282,43 €";2118;254;106;2372;5219;4692;4175;;;;;3914;5161;"110,00%";"0,00";;;;;;;;
SCT21xA4PHC;SCT21xA4PHC;"304,83 €";2286;274;114;2561;5633;5064;4507;;;;;4225;5571;"110,00%";"0,00";;;;;;;;
SCT21xA4PHC9005;SCT21xA4PHC9005;"304,83 €";2286;274;114;2561;5633;5064;4507;;;;;4225;5571;"110,00%";"0,00";;;;;;;;
SCT21xA4PHC9003;SCT21xA4PHC9003;"304,83 €";2286;274;114;2561;5633;5064;4507;;;;;4225;5571;"110,00%";"0,00";;;;;;;;
SCT21xA4PHC3020;SCT21xA4PHC3020;"304,83 €";2286;274;114;2561;5633;5064;4507;;;;;4225;5571;"110,00%";"0,00";;;;;;;;
SCT21xA4PHC5010;SCT21xA4PHC5010;"304,83 €";2286;274;114;2561;5633;5064;4507;;;;;4225;5571;"110,00%";"0,00";;;;;;;;
SCT24xA4PHC;SCT24xA4PHC;"342,10 €";2566;308;128;2874;6322;5683;5058;;;;;4742;6252;"110,00%";"0,00";;;;;;;;
SCT24xA4PHC9005;SCT24xA4PHC9005;"342,10 €";2566;308;128;2874;6322;5683;5058;;;;;4742;6252;"110,00%";"0,00";;;;;;;;
SCT24xA4PHC9003;SCT24xA4PHC9003;"342,10 €";2566;308;128;2874;6322;5683;5058;;;;;4742;6252;"110,00%";"0,00";;;;;;;;
SCT24xA4PHC3020;SCT24xA4PHC3020;"342,10 €";2566;308;128;2874;6322;5683;5058;;;;;4742;6252;"110,00%";"0,00";;;;;;;;
SCT24xA4PHC5010;SCT24xA4PHC5010;"342,10 €";2566;308;128;2874;6322;5683;5058;;;;;4742;6252;"110,00%";"0,00";;;;;;;;
SCT27xA4PHC;SCT27xA4PHC;"375,16 €";2814;338;141;3151;6933;6233;5546;;;;;5200;6856;"110,00%";"0,00";;;;;;;;
SCT27xA4PHC9005;SCT27xA4PHC9005;"375,16 €";2814;338;141;3151;6933;6233;5546;;;;;5200;6856;"110,00%";"0,00";;;;;;;;
SCT27xA4PHC9003;SCT27xA4PHC9003;"375,16 €";2814;338;141;3151;6933;6233;5546;;;;;5200;6856;"110,00%";"0,00";;;;;;;;
SCT27xA4PHC3020;SCT27xA4PHC3020;"375,16 €";2814;338;141;3151;6933;6233;5546;;;;;5200;6856;"110,00%";"0,00";;;;;;;;
SCT27xA4PHC5010;SCT27xA4PHC5010;"375,16 €";2814;338;141;3151;6933;6233;5546;;;;;5200;6856;"110,00%";"0,00";;;;;;;;
SCT4xA4PH;SCT4xA4PH;"€ 98,84";741;111;;741;1890;1742;1594;1520;1438;;;1371;1742;"100,00%";"0,00";;;;;;;;
SCT6xA4PH;SCT6xA4PH;"€ 116,42";873;131;;873;2227;2052;1999;1790;1694;;;1615;2052;"100,00%";"0,00";;;;;;;;
SCT8xA4PH;SCT8xA4PH;"€ 128,97";967;145;;967;2467;2273;2148;2049;1877;;;1789;2273;"100,00%";"0,00";;;;;;;;
SCT9xA4PH;SCT9xA4PH;"€ 137,57";1032;155;;1032;2631;2425;2218;2159;2002;;;1909;2425;"100,00%";"0,00";;;;;;;;
SCT12xA4PH;SCT12xA4PH;"€ 183,11";1373;206;;1373;3502;3227;3059;2815;2664;;;2541;3227;"100,00%";"0,00";;;;;;;;
SCT15xA4PH;SCT15xA4PH;"€ 212,42";1593;255;;1593;4078;3760;3441;3282;3107;;;2963;3760;"100,00%";"0,00";;;;;;;;
SCT18xA4PH;SCT18xA4PH;"€ 235,98";1770;301;;1770;4549;4195;3841;3664;3469;;;3310;4195;"100,00%";"0,00";;;;;;;;
SCT21xA4PH;SCT21xA4PH;"€ 249,80";1874;337;;1874;4834;4459;4084;3897;3691;;;3522;4459;"100,00%";"0,00";;;;;;;;
SCT24xA4PH;SCT24xA4PH;"€ 272,47";2044;388;;2044;5293;4884;4475;4271;4046;;;3862;4884;"100,00%";"0,00";;;;;;;;
SCT27xA4PH;SCT27xA4PH;"€ 297,51";2231;444;;2231;5799;5353;4907;4684;4438;;;4237;5353;"100,00%";"0,00";;;;;;;;
SCT12xA4PH+SCPOST;SCT12xA4PH+SCPOST;"€ 183,11";2383;357;;2383;6077;5600;5600;4885;4623;;;4051;5600;"100,00%";"0,00";;;;;;;;
SCT15xA4PH+SCPOST;SCT15xA4PH+SCPOST;"€ 212,42";2603;390;;2603;6638;6117;6117;5336;5050;;;4425;6117;"100,00%";"0,00";;;;;;;;
SCT18xA4PH+SCPOST;SCT18xA4PH+SCPOST;"€ 235,98";2780;417;;2780;7088;6532;6532;5698;5393;;;4725;6532;"100,00%";"0,00";;;;;;;;
SCT21xA4PH+SCPOST;SCT21xA4PH+SCPOST;"€ 249,80";2883;432;;2883;7352;6776;6776;5911;5594;;;4902;6776;"100,00%";"0,00";;;;;;;;
SCT24xA4PH+SCPOST;SCT24xA4PH+SCPOST;"€ 272,47";3053;458;;3053;7786;7175;7175;6259;5923;;;5191;7175;"100,00%";"0,00";;;;;;;;
SCT27xA4PH+SCPOST;SCT27xA4PH+SCPOST;"€ 297,51";3241;486;;3241;8265;7617;7617;6644;6288;;;5510;7617;"100,00%";"0,00";;;;;;;;
SCT12xA4PHLED+SCPOST;SCT12xA4PHLED+SCPOST;"€ 225,05";2698;540;;2698;7014;6474;6474;5665;5368;;;4721;6474;"100,00%";"0,00";;;;;;;;
SCT15xA4PHLED+SCPOST;SCT15xA4PHLED+SCPOST;"€ 259,91";2959;592;;2959;7694;7102;7102;6214;5889;;;5178;7102;"100,00%";"0,00";;;;;;;;
SCT18xA4PHLED+SCPOST;SCT18xA4PHLED+SCPOST;"€ 291,29";3194;639;;3194;8306;7667;7667;6708;6357;;;5590;7667;"100,00%";"0,00";;;;;;;;
SCT21xA4PHLED+SCPOST;SCT21xA4PHLED+SCPOST;"€ 316,31";3382;676;;3382;8794;8117;8117;7102;6730;;;5919;8117;"100,00%";"0,00";;;;;;;;
SCT24xA4PHLED+SCPOST;SCT24xA4PHLED+SCPOST;"€ 339,86";3559;712;;3559;9253;8541;8541;7473;7082;;;6228;8541;"100,00%";"0,00";;;;;;;;
SCT27xA4PHLED+SCPOST;SCT27xA4PHLED+SCPOST;"€ 371,20";3794;759;;3794;9864;9105;9105;7967;7550;;;6639;9105;"100,00%";"0,00";;;;;;;;
SRA4G32;KRA4G32;"5,00 €";38;8;2;38;101;92;83;79;75;69;;68;83;"100,00%";"0,00";;;;;;;;
SRA3G32;KRA3G32;"7,71 €";58;17;3;58;162;147;133;127;121;113;;110;133;"100,00%";"0,00";;;;;;;;
SRA2G32;KRA2G32;"9,21 €";69;28;3;69;200;183;166;159;152;142;;138;166;"100,00%";"0,00";;;;;;;;
SRA1G32;KRA1G32;"11,20 €";84;42;4;84;252;231;210;202;193;181;;176;210;"100,00%";"0,00";;;;;;;;
SRA0G32;KRA0G32;"20,26 €";152;91;8;152;471;433;395;380;365;342;;334;395;"100,00%";"0,00";;;;;;;;
SR50x70G32;KR50x70G32;"10,41 €";78;35;4;78;230;211;191;183;176;164;;160;191;"100,00%";"0,00";;;;;;;;
SR60x80G32;KR60x80G32;"21,63 €";162;97;8;162;503;462;422;406;389;365;;357;422;"100,00%";"0,00";;;;;;;;
SR70x100G32;KR70x100G32;"13,90 €";104;83;5;104;344;318;292;281;271;255;;250;292;"100,00%";"0,00";;;;;;;;
SR100x140G32;KR100x140G32;"25,00 €";188;375;9;188;844;797;750;731;713;684;;675;750;"100,00%";"0,00";;;;;;;;
SRA3R32;KRA3R32;"7,99 €";60;18;3;60;168;153;138;132;126;117;;114;138;"100,00%";"0,00";;;;;;;;
SRA2R32;KRA2R32;"10,88 €";82;33;4;82;237;216;196;188;180;167;;163;196;"100,00%";"0,00";;;;;;;;
SRA1R32;KRA1R32;"11,99 €";90;45;4;90;270;247;225;216;207;193;;189;225;"100,00%";"0,00";;;;;;;;
SRA0R32;KRA0R32;"22,08 €";166;99;8;166;513;472;431;414;397;373;;364;431;"100,00%";"0,00";;;;;;;;
SR50x70R32;KR50x70R32;"9,50 €";71;32;4;71;210;192;175;167;160;150;;146;175;"100,00%";"0,00";;;;;;;;
SR70x100R32;KR70x100R32;"14,00 €";105;21;5;105;284;257;231;221;210;194;;189;231;"100,00%";"0,00";;;;;;;;
SR100x140R32;KR100x140R32;"32,82 €";246;369;12;246;985;923;862;837;812;775;;763;862;"100,00%";"0,00";;;;;;;;
SRA4G37;KRA4G37;"8,16 €";61;122;3;61;275;260;245;239;233;223;;220;245;"100,00%";"0,00";;;;;;;;
SRA3G37;KRA3G37;"10,75 €";81;;12;81;194;185;173;165;157;145;;129;173;"100,00%";"0,00";;;;;;;;
SRA2G37;KRA2G37;"13,57 €";102;;18;102;247;237;222;212;202;186;;163;222;"100,00%";"0,00";;;;;;;;
SRA1G37;KRA1G37;"18,96 €";142;;28;142;348;334;313;299;284;263;;228;313;"100,00%";"0,00";;;;;;;;
SRA0G37;KRA0G37;"29,14 €";219;;300;219;792;770;737;715;693;661;;350;737;"100,00%";"0,00";;;;;;;;
SR50x70G37;KR50x70G37;"18,83 €";141;;28;141;346;332;311;297;282;261;;226;311;"100,00%";"0,00";;;;;;;;
SR70x100G37;KR70x100G37;"23,81 €";179;;45;179;446;429;402;384;366;339;;286;402;"100,00%";"0,00";;;;;;;;
SR100x140G37;KR100x140G37;"46,92 €";352;;300;352;1092;1057;999;969;933;881;;563;999;"100,00%";"0,00";;;;;;;;
SRA4G37WR;KRA4G37WR;"9,17 €";69;;8;69;163;156;146;139;132;122;;110;146;"100,00%";"0,00";;;;;;;;
SRA3G37WR;KRA3G37WR;"12,38 €";93;;14;93;223;214;200;190;181;167;;149;200;"100,00%";"0,00";;;;;;;;
SRA2G37WR;KRA2G37WR;"15,98 €";120;;22;120;291;279;261;249;237;219;;192;261;"100,00%";"0,00";;;;;;;;
SRA1G37WR;KRA1G37WR;"23,14 €";174;;35;174;469;449;382;364;347;321;;278;382;"100,00%";"0,00";;;;;;;;
SRA0G37WR;KRA0G37WR;"34,45 €";258;;300;258;881;856;817;791;765;726;;713;817;"100,00%";"0,00";;;;;;;;
SR50x70G37WR;KR50x70G37WR;"18,84 €";141;;28;141;346;332;311;297;283;261;;226;311;"100,00%";"0,00";;;;;;;;
SR70x100G37WR;KR70x100G37WR;"33,75 €";253;;89;253;658;633;595;570;544;506;;405;595;"100,00%";"0,00";;;;;;;;
SRA5G25;KRA5G25;" 2,81 € ";21;2;1;21;70;68;66;64;62;55;52;45;68;"100,00%";"0,00";;;;;;;;
SRA4G25;KRA4G25;" 3,21 € ";24;5;1;24;110;107;102;100;98;90;78;69;83;"100,00%";"0,00";;;;;;;;
SRA3G25;KRA3G25;" 4,14 € ";31;6;2;31;132;129;121;116;107;101;98;79;107;"100,00%";"0,00";;;;;;;;
SRA2G25;KRA2G25;" 6,68 € ";"50,10";" kr 10,02 ";" kr 2,51 ";" kr 50,10 "; 163 ; 158 ; 153 ; 143 ; 133 ; 128 ; 118 ; 113 ;" 152,81 ";"100,00%";"0,00";;;;;;;;
SRA1G25;KRA1G25;" 9,28 € ";"69,60";" kr 13,92 ";" kr 3,48 ";" kr 69,60 "; 212 ; 198 ; 191 ; 184 ; 177 ; 171 ; 164 ; 157 ;" 191,40 ";"100,00%";"0,00";;;;;;;;
SRA0G25;KRA0G25;" 16,25 € ";"121,88";" kr 60,94 ";" kr 6,09 ";" kr 121,88 "; 408 ; 384 ; 372 ; 360 ; 347 ; 335 ; 322 ; 311 ;" 371,72 ";"100,00%";"0,00";;;;;;;;
SR50x70G25;KR50x70G25;" 7,24 € ";"54,30";" kr 13,58 ";" kr 2,72 ";" kr 54,30 "; 190 ; 179 ; 174 ; 168 ; 163 ; 152 ; 141 ; 125 ;" 173,76 ";"100,00%";"0,00";;;;;;;;
SR60x80G25;KR60x80G25;" 11,50 € ";"86,25";" kr 17,25 ";" kr 4,31 ";" kr 86,25 "; 237 ; 229 ; 220 ; 211 ; 203 ; 198 ; 194 ; 194 ;" 219,94 ";"100,00%";"0,00";;;;;;;;
SR70x100G25;KR70x100G25;" 12,01 € ";"90,08";" kr 36,03 ";" kr 4,50 ";" kr 90,08 "; 288 ; 284 ; 279 ; 275 ; 266 ; 248 ; 221 ; 221 ;" 292,74 ";"100,00%";"0,00";;;;;;;;
SRA4R25;KRA4R25;" 3,36 € ";"25,20";" kr 5,04 ";" kr 1,26 ";" kr 25,20 "; 115 ; 112 ; 107 ; 105 ; 102 ; 95 ; 82 ;" 56,70 ";" 86,94 ";"100,00%";"0,00";;;;;;;;
SRA3R25;KRA3R25;" 4,61 € ";"34,58";" kr 6,92 ";" kr 1,73 ";" kr 34,58 "; 137 ; 130 ; 119 ; 109 ; 99 ; 95 ; 92 ;" 77,79 ";" 119,28 ";"100,00%";"0,00";;;;;;;;
SRA2R25;KRA2R25;" 7,01 € ";"52,58";" kr 10,52 ";" kr 2,63 ";" kr 52,58 "; 170 ; 166 ; 160 ; 149 ; 139 ; 134 ; 124 ;" 113,04 ";" 160,35 ";"100,00%";"0,00";;;;;;;;
SRA1R25;KRA1R25;" 9,98 € ";"74,85";" kr 14,97 ";" kr 3,74 ";" kr 74,85 "; 228 ; 213 ; 206 ; 183 ; 183 ; 171 ; 168 ;" 160,93 ";" 205,84 ";"100,00%";"0,00";;;;;;;;
SRA0R25;KRA0R25;" 16,98 € ";"127,35";" kr 63,68 ";" kr 6,37 ";" kr 127,35 "; 452 ; 439 ; 427 ; 414 ; 401 ; 382 ; 336 ;" 312,01 ";" 426,62 ";"100,00%";"0,00";;;;;;;;
SR50x70R25;KR50x70R25;" 8,21 € ";"61,58";" kr 12,32 ";" kr 3,08 ";" kr 61,58 "; 212 ; 200 ; 194 ; 188 ; 182 ; 169 ; 157 ;" 138,54 ";" 193,96 ";"100,00%";"0,00";;;;;;;;
SR70x100R25;KR70x100R25;" 12,56 € ";"94,20";" kr 37,68 ";" kr 4,71 ";" kr 94,20 "; 301 ; 297 ; 268 ; 250 ; 236 ; 231 ; 230 ;" 221,37 ";" 267,53 ";"100,00%";"0,00";;;;;;;;
SRA5G15;KRA5G15;" 3,74 € ";28;6;3;28;66;64;59;57;54;50;;45;59;"100,00%";"0,00";;;;;;;;
SRA4G15;KRA4G15;" 4,95 € ";37;7;3;37;99;95;89;84;80;74;;59;89;"115,00%";"0,00";;;;;;;;
SRA3G15;KRA3G15;" 6,72 € ";50;10;8;50;121;116;108;103;98;91;;81;108;"100,00%";"0,00";;;;;;;;
SRA2G15;KRA2G15;" 9,77 € ";73;15;13;73;178;171;160;152;145;134;;117;160;"100,00%";"0,00";;;;;;;;
SRA1G15;KRA1G15;" 13,97 € ";105;21;21;105;257;246;231;220;210;194;;178;231;"100,00%";"0,00";;;;;;;;
SR50x70G15;KR50x70G15;" 9,08 € ";68;14;10;68;163;157;146;140;133;123;;112;146;"100,00%";"0,00";;;;;;;;
SRA5G20;KRA5G20;" 3,01 € ";23;2;1;23;75;73;71;68;66;59;55;48;73;"100,00%";"0,00";;;;;;;;
SRA4G20;KRA4G20;" 3,73 € ";28;6;1;28;127;124;119;116;113;105;91;80;97;"100,00%";"0,00";;;;;;;;
SRA3G20;KRA3G20;" 4,85 € ";36;7;2;36;155;151;142;136;125;118;115;82;125;"100,00%";"0,00";;;;;;;;
SRA2G20;KRA2G20;" 7,01 € ";53;11;3;53;171;166;160;150;139;134;124;113;160;"100,00%";"0,00";;;;;;;;
SRA1G20;KRA1G20;" 10,80 € ";81;16;4;81;247;231;223;215;207;198;190;174;223;"100,00%";"0,00";;;;;;;;
SR50x70G20;KR50x70G20;" 8,19 € ";61;12;3;61;212;200;193;187;181;169;157;138;193;"100,00%";"0,00";;;;;;;;
SRA5R20;KRA5R20;" 3,31 € ";25;2;1;25;83;80;78;75;73;65;61;53;80;"100,00%";"0,00";;;;;;;;
SRA4R20;KRA4R20;" 4,10 € ";31;6;2;31;140;137;131;128;125;115;100;88;106;"100,00%";"0,00";;;;;;;;
SRA3R20;KRA3R20;" 5,26 € ";39;12;2;39;172;168;158;152;140;132;128;93;140;"100,00%";"0,00";;;;;;;;
SRA2R20;KRA2R20;" 7,90 € ";59;24;3;59;204;198;193;181;169;163;151;139;193;"100,00%";"0,00";;;;;;;;
SRA1R20;KRA1R20;" 11,88 € ";89;45;4;89;298;281;272;263;254;245;236;218;272;"100,00%";"0,00";;;;;;;;
SR50x70R20;KR50x70R20;" 9,82 € ";74;37;4;74;276;261;254;247;239;225;210;188;254;"100,00%";"0,00";;;;;;;;
SRA4G25GULD;KRA4G25GOLD;"6,86 €";51;10;3;64;161;145;129;122;116;106;;103;129;"100,00%";"0,00";;;;;;;;
SRA3G25GULD;KRA3G25GOLD;"9,77 €";73;22;4;99;247;223;198;188;178;163;;158;198;"100,00%";"0,00";;;;;;;;
SRA2G25GULD;KRA2G25GOLD;"13,22 €";99;40;5;144;359;323;288;273;259;237;;230;288;"100,00%";"0,00";;;;;;;;
SRA1G25GULD;KRA1G25GOLD;"17,18 €";129;64;6;200;499;449;399;379;359;330;;320;399;"100,00%";"0,00";;;;;;;;
SRA0G25GULD;KRA0G25GOLD;"29,70 €";223;134;11;368;919;827;735;698;662;606;;588;735;"100,00%";"0,00";;;;;;;;
SR50x70G25GULD;KR50x70G25GOLD;"15,13 €";113;57;6;176;440;396;352;334;317;290;;281;352;"100,00%";"0,00";;;;;;;;
SR70x100G25GULD;KR70x100G25GOLD;"24,80 €";186;130;9;326;814;732;651;618;586;537;;521;651;"100,00%";"0,00";;;;;;;;
SRA5G20SEC;KRA5G20SEC;"3,77 €";"28,28";6;3;28;80;73;66;63;;;;39;66;"100,00%";"0,00";;;;;;;;
